video,Verbal Fluency,Hope & Positive Expectations,Persuasiveness,Emotional Expression,Alliance Rupture-Repair Responsiveness,Alliance Bond Capacity,"Warmth, Acceptance, & Understanding",Empathy
data/FIS996/KM0920_T1_Luke,,2.0,,,,3.0,,
data/FIS996/RM0605_T1_Bethany,,,,,3.0,,,
data/FIS996/RM0824_T3_Luke,,,,,,3.0,,3.0
data/FIS996/BE0223_T3_Jessica,,,3.0,,,,,
data/FIS996/AKF0715_T1_Luke,,,1.0,,3.0,,,
data/FIS996/RD0924_T1_Luke,,,,,3.0,,,
data/FIS996/MF0211_T3_Jessica,3.0,,,,,,,
data/FIS996/VH0112_T3_Jackson,,,3.0,,,,3.0,
data/FIS996/DK1208_T3_Luke,,,,,,3.0,,
data/FIS996/BE0223_T3_Jackson,,,,,,3.0,,
data/FIS996/AG0914_T2_John,,,,3.0,,,,
data/FIS996/EO0207_T1_Jackson,,,,,3.0,,,
data/FIS996/EB0819_T3_Bethany,,,3.0,,,,,
data/FIS996/MC1107_T2_Jackson,,,,,3.0,,,
data/FIS996/SA1129_T1_Luke,,,,,,3.0,,
data/FIS996/SN0216_T3_Sean,,,,,,,3.0,
data/FIS996/SW0508_T3_Luke,,,,,3.0,,,
data/FIS996/ZC0615_T2_Savannah,,,,,,,3.0,
data/FIS996/AJ0603_T2_Jackson,,,,,,,3.0,
data/FIS996/AK0721_T3_Jackson,,,,,,3.0,,
data/FIS996/AR0902_T2_Bethany,,,,,,,3.0,
data/FIS996/BK0813_T2_Luke,3.0,,,,,,,
data/FIS996/MM0923_T3_Luke,3.0,,,,,,,
data/FIS996/RL0702_T2_Bethany,,,,,,,,1.0
data/FIS996/SA1129_T1_Jessica,,,,3.0,,,3.0,
data/FIS996/RB0909_T1_Bethany,,,,,3.0,,,
data/FIS996/BM0616_T2_Bethany,,,,,,,3.0,
data/FIS996/LY1205_T2_Jackson,,,,,3.0,,,
data/FIS996/RL0124_T3_Jessica,,,,,,3.0,,
data/FIS996/AS1031_T3_John,,,,3.0,,,,
data/FIS996/SN0216_T2_Savannah,,,,,,,,3.0
data/FIS996/KM0920_T2_Bethany,,,,,3.0,,,
data/FIS996/CP0603_T1_Luke,,,,,3.0,,,
data/FIS996/EP1117_T2_Jackson,3.0,,,,,,,
data/FIS996/MS0315_T1_Jessica,,4.7,,,,,,
data/FIS996/VS0305_T2_Jessica,,,,,,,,3.0
data/FIS996/KS0906_T1_Jackson,,,,3.0,,,,
data/FIS996/BM0616_T3_Savannah,3.0,,,,,,,
data/FIS996/MC1107_T3_Lauren,,,,3.0,,,,
data/FIS996/MF0524_T3_Sean,,1.0,,3.0,,,,
data/FIS996/WT0720_T1_Bethany,,3.0,,,,,,
data/FIS996/JK0718_T1_Jackson,3.0,,,,,,,
data/FIS996/HV0516_T2_Jessica,,,3.0,,,,,
data/FIS996/AG0914_T1_Luke,,,,,,,,3.0
data/FIS996/AK0721_T2_Bethany,4.0,,,,,,,
data/FIS996/MD0108_T2_Jackson,,,,,,,3.0,
data/FIS996/AKF0715_T2_Bethany,,,,,,,,3.0
data/FIS996/SW0508_T2_Jessica,,,,3.0,,,,
data/FIS996/MF0211_T1_Jackson,,,,,,,,3.0
data/FIS996/TK0423_T2_Jessica,,,3.0,,,,,
data/FIS996/EB0819_T1_Jackson,,3.0,,,,,,3.0
data/FIS996/DE0309_T1_Bethany,4.0,,,,3.0,,,
data/FIS996/JS0513_T1_Jessica,,,,3.0,,,,
data/FIS996/CR0929_T2_Bethany,,,,,,,3.0,
data/FIS996/JS0513_T3_Luke,,,,,3.0,,,
data/FIS996/RM0605_T1_Jessica,,,,,3.0,,,
data/FIS996/NR0802_T1_Jessica,,3.0,,,,,,
data/FIS996/TK0502_T3_Jessica,,,,,4.0,,,
data/FIS996/MC1107_T3_Savannah,3.0,,,,,,,
data/FIS996/SC0723_T2_Jackson,,,,,2.0,,,
data/FIS996/BY1218_T1_Jackson,3.0,3.0,,,,,,
data/FIS996/BK0813_T3_Lauren,,3.0,,,,,,
data/FIS996/BY1218_T3_Luke,,,,,,,,4.0
data/FIS996/MM0923_T2_Savannah,,,,3.0,,,,
data/FIS996/RD0924_T3_Sean,,,,,3.0,,,
data/FIS996/EP0719_T1_Bethany,,,3.0,,,,,
data/FIS996/MD0108_T1_Jackson,,,,,3.0,,,
data/FIS996/NR0802_T1_Bethany,,,3.0,,,,,3.0
data/FIS996/MC1107_T2_Savannah,,,,,,,3.0,
data/FIS996/WT0720_T3_Jackson,3.0,,,,,,,
data/FIS996/PR0920_T1_Bethany,,,,,3.0,,,
data/FIS996/EB0819_T2_John,,,,,,,3.0,
data/FIS996/PR0920_T1_Jessica,,,,,,,3.0,
data/FIS996/EO0207_T2_Jackson,,,,3.0,3.0,,,
data/FIS996/TK0502_T2_Savannah,3.0,,,,,,,
data/FIS996/AS1031_T3_Savannah,,,,,,3.0,,
data/FIS996/CS0920_T3_Jackson,,1.0,,,,,,
data/FIS996/AS1031_T2_Bethany,,,,4.0,,,,
data/FIS996/JS1112_T2_Savannah,,,,,,,3.0,
data/FIS996/MC1107_T1_Jessica,,,1.0,,,,,
data/FIS996/KC0616_T2_Jessica,,,,3.0,,,,
data/FIS996/KR0524_T2_Jessica,,,3.0,,,,,
data/FIS996/BV0706_T3_Luke,,,3.0,,,,,
data/FIS996/TK0502_T1_Jessica,,,,,,3.0,,
data/FIS996/EH0202_T2_Jessica,,,3.0,,,,,
data/FIS996/DE0309_T1_Luke,,,3.0,,,,3.0,
data/FIS996/JS1112_T3_Sean,4.0,,,,,,,
data/FIS996/MC1107_T2_John,,1.0,,,,,,3.0
data/FIS996/PR0920_T1_Luke,,,,,,,,3.0
data/FIS996/AB0511_T3_Luke,,,,,4.0,,,
data/FIS996/KC0616_T2_Bethany,,2.0,,,,,,
data/FIS996/RD0924_T1_Bethany,3.0,,,,,,,
data/FIS996/MS0315_T2_Bethany,,3.0,,,,,,
data/FIS996/NA0515_T3_Jackson,,,1.0,3.0,,,,3.0
data/FIS996/WT0720_T3_Luke,,,3.0,,3.0,,,
data/FIS996/KC0616_T1_Luke,,,,3.0,,,,
data/FIS996/VS0305_T2_Jackson,3.0,,,,,,,
data/FIS996/KM0920_T1_Jessica,3.0,,,,,,,
data/FIS996/LY1205_T2_Bethany,,,3.0,,,,,
data/FIS996/YK0410_T1_Bethany,,,,,,,3.0,
data/FIS996/AJ0603_T2_Jessica,,,3.0,,,,,
data/FIS996/YK0410_T3_Sean,,,,,,,,3.0
data/FIS996/AG0914_T2_Savannah,,,,,,,3.0,
data/FIS996/ES0221_T3_Luke,,,,,,,,3.0
data/FIS996/MC1107_T3_Jessica,,,,,3.0,,,
data/FIS996/LY1205_T3_Lauren,,,,,,3.0,,
data/FIS996/AS1031_T1_Jessica,,,,,,3.0,,
data/FIS996/RD0924_T3_Savannah,,,,,,,,3.0
data/FIS996/BM0616_T2_John,,,,,,3.0,,
data/FIS996/CB0326_T1_Jessica,3.0,,,,3.0,,,
data/FIS996/RL0124_T2_Jessica,,,,,,,3.0,
data/FIS996/KC0616_T1_Bethany,,,,3.0,,,,
data/FIS996/LW0711_T2_Luke,,,,,4.0,,,
data/FIS996/AG0914_T2_Jackson,,,,,,,,3.0
data/FIS996/EO0207_T1_Luke,,,,,3.0,,,
data/FIS996/VH0112_T3_Luke,,,,3.0,,,,
data/FIS996/RL0124_T3_Lauren,3.0,,,,,,,
data/FIS996/AB0511_T2_John,,,,,3.0,,,
data/FIS996/BY1218_T2_Jackson,,,,,,,3.0,
data/FIS996/AKF0715_T3_Luke,3.0,,,,,,,
data/FIS996/SW0508_T2_John,,,1.0,,,,,
data/FIS996/BY1218_T2_John,,,1.0,,,,,
data/FIS996/CR0929_T1_Bethany,,,,,,,,4.0
data/FIS996/MF0211_T1_Jessica,,,,,,,,3.0
data/FIS996/KR0524_T3_Luke,,,,,,,,4.0
data/FIS996/KM0302_T2_Savannah,,,,,3.0,,,
data/FIS996/DG0816_T1_Bethany,,,,,3.0,,,
data/FIS996/VH0112_T3_Lauren,,,,3.0,,,,
data/FIS996/YK0410_T1_Jackson,,,,,,3.0,,
data/FIS996/AB0511_T3_Savannah,,,3.0,,,,,
data/FIS996/AK0721_T2_Jessica,,,,3.0,,,,
data/FIS996/SC0723_T1_Jessica,2.0,,,,,,,
data/FIS996/MF0524_T3_Luke,,,,3.0,,,,
data/FIS996/MB1122_T3_Jackson,,,,,,,3.0,
data/FIS996/SW0508_T3_Jessica,,1.0,,,,,,
data/FIS996/NA0515_T1_Luke,3.0,,,,,,,
data/FIS996/SB0619_T1_Bethany,,,,3.0,,,,
data/FIS996/MM0923_T1_Jackson,,,,,,3.0,,
data/FIS996/WB0416_T3_Sean,,,,,3.0,,,
data/FIS996/AJ0603_T1_Jackson,,,,3.0,,,,
data/FIS996/TK0502_T2_Luke,,,,,,,4.0,
data/FIS996/JS0513_T2_John,,,,3.0,,,,
data/FIS996/MM0923_T3_John,,,,,,,,3.0
data/FIS996/ZC0615_T3_Bethany,4.0,,,,,,,
data/FIS996/CP0603_T2_Bethany,,,3.0,,,,,
data/FIS996/PS0518_T3_Jessica,,,,,,,,3.0
data/FIS996/MF0524_T1_Luke,,,,,,,3.0,
data/FIS996/DK1208_T2_Savannah,,3.0,,,,,,
data/FIS996/LY1205_T2_Jessica,,,3.0,,,,,
data/FIS996/MD0108_T2_Jessica,,,,,3.0,,,
data/FIS996/KC0616_T3_Bethany,,,3.0,,,,,
data/FIS996/MM0923_T1_Jessica,,,,,,,3.0,
data/FIS996/MF0524_T3_Bethany,3.0,,,,,,,
data/FIS996/JS0513_T2_Jessica,,,,,,,3.0,
