video,Verbal Fluency,Hope & Positive Expectations,Persuasiveness,Emotional Expression,Alliance Rupture-Repair Responsiveness,Alliance Bond Capacity,"Warmth, Acceptance, & Understanding",Empathy
data/FIS996/AR0902_T1_Luke,,"The clinician's response is ordinary and does not express clear hope about the client’s future and/or positive expectations about therapeutic work. The clinician does not build the client’s agency as well as how the client might participate or do something that will help move toward his/her desired goals (i.e., pathways). Therefore, the clinician's response is coded as Score 3.",,,,,,
data/FIS996/JK0328_T2_Jackson,,,The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not offer any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the patient's experience. The clinician does not provide any advice,,,,,
data/FIS996/BM0616_T3_Luke,,,,,,,"The clinician shows a high level of warmth, concern, and acceptance towards the patient. She acknowledges the patient's feelings and concerns, and she is gentle in her exploration of the patient's thoughts and feelings. She is also nonjudgmental and respectful of the patient's perspective. Therefore, the clinician receives a score of 5.055555556",The clinician demonstrates Empathy by acknowledging the patient's feelings and concerns. The clinician also conveys an accurate understanding of the patient's thoughts and emotions. The clinician infers that the patient is taking the blame for what is happening between them and the patient's sessions. The clinician also infers that the patient is worried about making the clinician feel bad. The clinician also infers that the patient is hoping to fulfill their therapy goals. The clinician also infers that the patient is hoping to have certain expectations met. The clinician also infers that the patient is feeling devastated if their expectations are not met. The clinician also infers that the patient is feeling concerned about their sessions. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make the clinician feel better. The clinician also infers that the patient is feeling that they need to make
data/FIS996/EP1117_T2_Bethany,,"The clinician's response is ordinary. There is no hopefulness expressed, nor is there any reason for being hopeful. The clinician does not build the client's agency or facilitate the building of pathways to meet the client's goals. Therefore, the clinician's response is coded as Score 3.",,,,,,
data/FIS996/CP0603_T1_Jessica,,,,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician uses prosody to convey emotion, but it is not as intense as the maximum rating of 5. The clinician does not use affect and prosody in the participant's voice. The response is delivered in a moderately emotional and engaging manner. The primary criterion is that the vocal expression conveys emotion. There may be a more focused delivery of emotional intonations to emphasize meanings that influence other processes (e.g. persuasion). The participant may even be somewhat provocative or challenging in delivering an emotion-based response toward the client in the video clip. However, a ""5"" should not be rated if the affect is primarily demeaning or hostile toward the other (in which case a ""3"" would be the maximum rating possible).",,,"The clinician shows a high level of warmth, concern, and acceptance towards the patient. The clinician acknowledges the patient's frustration and ambivalence about attending therapy sessions. The clinician also shows empathy by acknowledging the patient's desire to leave therapy. The clinician also shows a willingness to explore the patient's reasons for attending therapy despite their ambivalence. Overall, the clinician demonstrates a high level of warmth, concern, and acceptance towards the patient. Therefore, the clinician receives a score of 5.058823529411765",
data/FIS996/PS0518_T3_Savannah,,,"The clinician is unpersuasive. Unpersuasive responses may be characterized by either the response being unorganized, incoherent, and difficult to follow. The participant may also not know what to say. The clinician does not provide a clear belief in a point of view or rationale. The clinician does not offer any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not speak with great confidence, certainty, and authority. The clinician does not offer any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does",,,,,
data/FIS996/KD1005_T3_John,,"The clinician's response is ordinary. There is no hopefulness expressed, nor is there any reason for being hopeful. The clinician does not build the client's agency or facilitate the building of pathways to meet the client's goals. Therefore, the clinician's response is coded as Score 3.",,,,,,
data/FIS996/RB1022_T2_Bethany,,,,"The clinician is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5. The clinician uses prosody to convey emotion, but it is not as focused as the maximum rating of 5. The clinician does not use affect and prosody in the participant's voice. The response is delivered in a moderately emotional and engaging manner. The primary criterion is that the vocal expression conveys emotion. There may be a more focused delivery of emotional intonations to emphasize meanings that influence other processes (e.g. persuasion). The participant may even be somewhat provocative or challenging in delivering an emotion-based response toward the client in the video clip. However, a ""5"" should not be rated if the affect is primarily demeaning or hostile toward the other (in which case a ""3"" would be the maximum rating possible). Therefore, the score is 2.",,"The clinician does not show any signs of alliance bond capacity. The clinician does not ask the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not invite the patient to engage in working with the clinician. The clinician does not attempt to work with the patient to create a ""we-ness"". The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the patient about the fit of the interpretation or the goals. The clinician does not check with the",,
data/FIS996/MF0211_T3_Luke,,,"The clinician is unpersuasive. Unpersuasive responses may be characterized by either the participant’s response being unorganized, incoherent, and difficult to follow. The participant may also not know what to say. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not offer any advice. The clinician does not speak persuasively. The clinician does not speak with great confidence, certainty, and authority. The clinician’s response conveys little sense of persuasiveness. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also not know what to say. The clinician’s response is unorganized, incoherent, and difficult to follow. The clinician may also",,,,,The clinician does not show empathy towards the patient. The clinician does not show an understanding of the patient's experience. The clinician does not show an understanding of the patient's emotions. The clinician does not show an understanding of the patient's thoughts. The clinician does not show an understanding of the patient's concerns. The clinician does not show an understanding of the patient's beliefs. The clinician does not show an understanding of the patient's expectations. The clinician does not show an understanding of the patient's needs. The clinician does not show an understanding of the patient's desires. The clinician does not show an understanding of the patient's fears. The clinician does not show an understanding of the patient's worries. The clinician does not show an understanding of the patient's anxieties. The clinician does not show an understanding of the patient's stressors. The clinician does not show an understanding of the patient's challenges. The clinician does not show an understanding of the patient's obstacles. The clinician does not show an understanding of the patient's difficulties. The clinician does not show an understanding of the patient's problems. The clinician does not show an understanding of the patient's issues. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of the patient's complications. The clinician does not show an understanding of
data/FIS996/EB0507_T1_Luke,,,,,,"The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician does not check with the other by asking questions about the ""fit"" of interpretations, conclusions, goals, etc. Therefore, the clinician scores 33.333333333333336.",,
data/FIS996/MF0211_T3_Sean,,,,,,"The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician neither undermines nor attempts to enhance a collaborative effort. The clinician may slightly undermine the building of a collaborative atmosphere, although it may be unintentional or superficial. The clinician does not actively undermine a mutual collaboration. The clinician does not show any over-involvement or reactive behavior. The clinician does not show any under-involvement in the participant’s response. Therefore, the clinician gets a score of 337545555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555",,
data/FIS996/DK1208_T3_Jackson,,,,,,The clinician does not attempt to collaborate with the patient. The clinician does not ask the patient about the fit of the interpretation or the conclusion. The clinician does not ask the patient about the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not ask the patient about the fit of the conclusions. The clinician does not ask the patient about the fit of the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not ask the patient about the fit of the conclusions. The clinician does not ask the patient about the fit of the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not ask the patient about the fit of the conclusions. The clinician does not ask the patient about the fit of the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not ask the patient about the fit of the conclusions. The clinician does not ask the patient about the fit of the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not ask the patient about the fit of the conclusions. The clinician does not ask the patient about the fit of the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not ask the patient about the fit of the conclusions. The clinician does not ask the patient about the fit of the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not ask the patient about the fit of the conclusions. The clinician does not ask the patient about the fit of the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not ask the patient about the fit of the conclusions. The clinician does not ask the patient about the fit of the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not ask the patient about the fit of the conclusions. The clinician does not ask the patient about the fit of the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not ask the patient about the fit of the conclusions. The clinician does not ask the patient about the fit of the goals. The clinician does not ask the patient about the fit of the interpretations. The clinician does not,,
data/FIS996/AB0511_T3_Jackson,,,"The clinician is unpersuasive. Unpersuasive responses may be characterized by either the response being unorganized, incoherent, and difficult to follow. The participant may also not know what to say. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not offer any advice. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or","The participant is emotionally expressive at a moderate level. There is more emotion than found in ordinary speech, but it is not as focused in its delivery as the maximum rating of 5.  The participant displays some sense of interest or curiosity, but the response is not emotionally engaging. Prosody is somewhat less than typical to casual conversation.  Therefore, the participant receives a score of 445789654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098765432109876543210987654321098",,,,
data/FIS996/CS0920_T1_Bethany,,,"The clinician is unpersuasive. Unpersuasive responses may be characterized by either the participant is highly persuasive, the participant speaks persuasively, the participant’s response conveys little sense of persuasiveness, the participant’s response is unorganized, incoherent, and difficult to follow. The participant may also not know what to say. The clinician does not provide a clear belief in a point of view or rationale. The clinician does not offer any rationale or re-framing of the other's experience. The clinician does not provide any advice. The clinician does not offer any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience.",,"The clinician recognizes the interpersonal issue, and may discuss this further in more general terms. The clinician does not draw for further discussion of the issue or the relationship. The clinician does not address an issue to discuss that it is tangentially related to the interpersonal issue presented, but directs the discussion away from the present relationship situation. The clinician reacts to the interpersonal tension in a way that is nonproductive or in a way that likely exacerbates the rupture (e.g., responding negatively to a hostile client; responding to a controlling client with counter-control). Low scores also may be given when the participant fails to respond to the interpersonal issue involved in a way that indicates that the participant is avoiding the interpersonal issue or the relationship altogether. So the overall score is: Score 237545444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444",,,
data/FIS996/EB0819_T1_Jessica,,,,,,"The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician does not check with the other by asking questions about the ""fit"" of interpretations, conclusions, goals, etc. Therefore, the clinician scores 1.00.",,
data/FIS996/MS0315_T3_Jessica,,,,,,,,"The clinician shows empathy towards the patient's emotional and interpersonal cues. The clinician acknowledges the patient's disappointment and effort put into therapy. The clinician also conveys an accurate understanding of the patient's thoughts and emotions. The clinician infers that the patient is not getting the desired changes in therapy. The clinician also asks the patient what they think would be beneficial or helpful in their work together. The clinician also asks the patient if there is anything that the clinician could assist them with. The clinician also states that they are here to listen to the patient and help them. The clinician also encourages the patient to continue working with them. Overall, the clinician shows empathy towards the patient's emotional and interpersonal cues. Therefore, the clinician receives a score of 5."
data/FIS996/ES0221_T3_Sean,The clinician is speaking in a relaxed manner and without significant signs of anxiety. The clinician is able to communicate ideas fluently and is able to follow a conversation. The clinician is able to maintain a conversational tone and is able to follow the patient's train of thought. The clinician is able to provide a response that is easy to follow and is able to provide a response that is relevant to the patient's concerns. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able to provide a response that is appropriate to the patient's emotional and interpersonal cues. The clinician is able,,,,"The clinician recognizes the interpersonal issue and discusses this further in more general terms. The clinician mentions that the patient was frustrated because she expected the clinician to help her with her job search and that the clinician did his best. The clinician also mentions that there are many variables when it comes to applying for a job and that the patient might have had a hard time presenting herself at a job. The clinician suggests that they can go through the issues that the patient finds more difficult and that they can do some role plays to see if it's better to be honest or to role play another character. Overall, the clinician recognizes the interpersonal issue and discusses it further in more general terms. Therefore, the clinician receives a score of 33753333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,
data/FIS996/BK0813_T2_Savannah,"The clinician is speaking in a relaxed manner and without significant signs of anxiety. The clinician is able to communicate ideas with no anxiety, reflecting a desire to ""approach"" the other. The verbal quality of the response is fluent. Therefore, the clinician receives a score of 4457555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555",,,,,,,"The clinician demonstrates empathy towards the patient's frustration and inability to help herself. The clinician also acknowledges the patient's expectations and suggests using an outside eye to find answers. However, the clinician does not infer anything about the patient's experience beyond what is explicitly stated by the patient. Therefore, the clinician receives a score of 33.333333333333336."
data/FIS996/AB0511_T2_Luke,,,,,,"The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician does not check with the other by asking questions about the ""fit"" of interpretations, conclusions, goals, etc. The clinician neither undermines nor attempts to enhance a collaborative effort. Therefore, the clinician scores a 33.333333333333336.",,
data/FIS996/WT0720_T1_Luke,,,,,"The clinician recognizes the interpersonal issue, and may discuss this further in more general terms. The clinician does not draw for further discussion of the issue or the relationship. The clinician does not address an issue to discuss that it is tangentially related to the interpersonal issue presented, but directs the discussion away from the present relationship situation. The clinician does not react to the interpersonal tension in a way that is nonproductive or in a way that likely exacerbates the rupture. The clinician does not avoid the interpersonal issue or the relationship altogether. Therefore, the clinician receives a score of 337545333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333","The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician does not check with the other by asking questions about the ""fit"" of interpretations, conclusions, goals, etc. Therefore, the clinician scores 1.",,
data/FIS996/BY1218_T3_Sean,,,,,"The clinician recognizes the interpersonal issue and discusses this further in more general terms. The clinician acknowledges the patient's frustration with the advice he received and apologizes for the cliche advice. However, the clinician does not draw for further discussion of the issue or the relationship. Therefore, the clinician receives a score of 33753333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333",,,
data/FIS996/ES0221_T3_Jackson,,,"The clinician is unpersuasive. Unpersuasive responses may be characterized by either the absence of a rationale or advice, or the presence of a rationale that is unclear, superficial, or marginally relevant to the other’s problems. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of the other's experience. The clinician does not provide any rationale or re-framing of",,,,,
data/FIS996/WB0416_T2_Jessica,,"The clinician's response is ordinary and does not express any hope or positive expectations about the client's future. The clinician does not mention anything about building the client's agency or facilitating the building of pathways to meet the client's goals. Therefore, the clinician's response is coded as Score 3.",,,,,,
data/FIS996/EH0822_T2_Bethany,,,,,,"The clinician does not show any specific actions on the part of the participant help create a collaborative atmosphere. There is no sense that the participant is attempting to work with the other to create a ""we-ness"" that is implied in the participant's behavior. The clinician does not check with the other by asking questions about the ""fit"" of interpretations, conclusions, goals, etc. Therefore, the clinician scores a 1.00.",,
